id,name
2968a03c-e7e2-4,ANDREA-Shared-Acceptance-0001
53ac1c5e-7459-4,ANDREA-Shared-AUMC-0001
8fe6087a-fc50-4,ANDREA-Shared-Demo-0001
4bbd09c7-b132-4,ANDREA-Shared-DRWN-0001
a8cfc672-3ced-4,ANDREA-Shared-EMC-0001
71098b75-1389-4,ANDREA-Shared-RIVM-0001
156b186c-c6c1-4,ANDREA-Shared-RUMC-0001
c8d694e3-8309-4,ANDREA-Shared-UMCU-0001
e049bd9e-8251-4,ANDREA-System
0f48c226-f932-4,ANDREA-Workspaces-Acceptance-0001
7abc5717-8f92-4,ANDREA-Workspaces-AUMC-0001
9e934f24-3721-4,ANDREA-Workspaces-AUMC-0002
9d6e08fb-b913-4,ANDREA-Workspaces-AUMC-0003-EDS
dc7599b5-590d-4,ANDREA-Workspaces-DEMO-0001
60bc2a15-a6ff-4,ANDREA-Workspaces-DRWN-0001
86cc4c46-12e4-4,ANDREA-Workspaces-EMC-0001
7c9c9b81-e7d0-4,ANDREA-Workspaces-EMC-0002
256a00a6-e5a0-4,ANDREA-Workspaces-EMC-0003
436a3c12-8683-4,ANDREA-Workspaces-EMC-0004-CML
9db93d63-9777-4,ANDREA-Workspaces-EMC-0005-CR
3048260b-9e50-4,ANDREA-Workspaces-LUMC-0001
ff07af51-1d4e-4,ANDREA-Workspaces-MUMC-0001
b4bda393-337e-4,ANDREA-Workspaces-MUMC-0001-auditlogs
8d0dc427-c53e-4,ANDREA-Workspaces-RIVM-0001
31ab8de5-6c95-4,ANDREA-Workspaces-RUMC-0001
521bc2b7-09d9-4,ANDREA-Workspaces-RUMC-0002
8ca980f6-84ea-4,ANDREA-Workspaces-RUMC-0003
b9a03ec2-d4eb-4,ANDREA-Workspaces-RUMC-0007-External
de3d6130-6b1c-4,ANDREA-Workspaces-RUMC-0008
d1d458e4-c30e-4,ANDREA-Workspaces-RUMC-0009
11ad25d1-de49-4,ANDREA-Workspaces-RUMC-0010
da355b0c-6951-4,ANDREA-Workspaces-RUMC-0011
36344f3a-014e-4,ANDREA-Workspaces-RUMC-0012
7f07ec80-6a1b-4,ANDREA-Workspaces-RUMC-0017
c512b231-0a12-4,ANDREA-Workspaces-TUE-0001
c6b75cc1-7f02-4,ANDREA-Workspaces-UMCG-0001
38ccc939-49a0-4,ANDREA-Workspaces-UMCU-0001
bc33dfc9-9af6-4,ANDREA-Workspaces-UMCU-0002
a5419b21-6029-4,ANDREA-Workspaces-UMCU-0003